age,duration_latest,count_call_current,days_last_campaign,count_call_previous,evr_quarterly,cpi_monthly,cci_monthly,type_employment,highest_educ,month_last_contacted,Response,civil_status_Cat_1_m***d,civil_status_Cat_2_s***e,civil_status_Cat_3_u***n,home_loan_Cat_1_u***n,home_loan_Cat_2_y***s,personal_loan_Cat_1_u***n,personal_loan_Cat_2_y***s,contact_medium_Cat_1_t***e,dow_last_contacted_Cat_1_m***n,dow_last_contacted_Cat_2_t***u,dow_last_contacted_Cat_3_t***e,dow_last_contacted_Cat_4_w***d,credit_facility_Cat_1_u***n,credit_facility_Cat_2_y***s,previous_campaign_Cat_1_n***t,previous_campaign_Cat_2_s***s
57,8.77029233950494,0.0,0,1,-1.8,92.893,-46.2,0.10754749869269653,0.1093011688634668,0.06405997103671522,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8.227744741019658,0.5548258291803478,0,0,1.1,93.994,-36.4,0.10238907849829351,0.14285714285714285,0.06405997103671522,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
33,5.1428256984931116,0.0,0,1,-1.8,92.893,-46.2,0.06961058793586154,0.07805255023183925,0.06405997103671522,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8.67831846301054,0.90402589939525,0,0,1.4,94.465,-41.8,0.12959621024137152,0.1093011688634668,0.10486891385767791,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,7.418465796066891,0.5548258291803478,0,0,1.4,93.918,-42.7,0.10654827968923418,0.1093011688634668,0.09012244897959183,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58,9.825917298423342,0.0,0,0,1.4,93.918,-42.7,0.2544338335607094,0.11116071428571428,0.09012244897959183,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,7.908529775556714,0.0,0,0,1.1,93.994,-36.4,0.07694601849090367,0.1093011688634668,0.06405997103671522,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
51,3.9639883513157756,1.0889861982510358,0,0,1.4,93.444,-36.1,0.12959621024137152,0.13615205585725368,0.10668207202002696,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
24,6.660811761310742,0.90402589939525,0,0,1.4,94.465,-41.8,0.08280254777070063,0.13615205585725368,0.10486891385767791,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
36,4.84045411147032,0.90402589939525,0,0,1.4,93.918,-42.7,0.10754749869269653,0.11116071428571428,0.09012244897959183,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,9.183947779494561,0.778381109247145,0,0,-1.8,92.893,-46.2,0.06961058793586154,0.07805255023183925,0.06405997103671522,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,9.65468316734804,0.778381109247145,0,0,-1.8,92.893,-46.2,0.06961058793586154,0.10416076988395132,0.06405997103671522,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
43,10.93794613504675,0.0,0,0,1.4,93.918,-42.7,0.06961058793586154,0.07805255023183925,0.09012244897959183,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,9.62299068904326,0.778381109247145,0,0,1.4,93.444,-36.1,0.12959621024137152,0.13615205585725368,0.10668207202002696,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
58,8.081250623666708,0.778381109247145,0,0,1.4,93.918,-42.7,0.06961058793586154,0.10416076988395132,0.09012244897959183,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
36,7.227702407407522,0.0,0,0,1.4,94.465,-41.8,0.10654827968923418,0.1093011688634668,0.10486891385767791,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,6.994062829395796,0.5548258291803478,0,0,1.4,93.918,-42.7,0.06961058793586154,0.07805255023183925,0.09012244897959183,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
53,7.303874848337398,1.1953275808036892,0,0,1.4,93.918,-42.7,0.10754749869269653,0.11116071428571428,0.09012244897959183,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
37,6.100429925545918,0.5548258291803478,0,0,1.4,93.918,-42.7,0.08280254777070063,0.11116071428571428,0.09012244897959183,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,8.923226937360972,0.0,0,1,-2.9,92.201,-31.4,0.12959621024137152,0.13615205585725368,0.10668207202002696,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,11.669780364141054,0.778381109247145,0,0,1.4,93.918,-42.7,0.2544338335607094,0.07805255023183925,0.09012244897959183,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
49,8.582654509837159,0.5548258291803478,0,0,1.1,93.994,-36.4,0.1430274135876043,0.11116071428571428,0.06405997103671522,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
26,9.508813629658992,1.251787003511881,0,0,1.4,94.465,-41.8,0.10238907849829351,0.1093011688634668,0.10486891385767791,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
30,6.264287580930835,0.778381109247145,0,0,1.4,93.918,-42.7,0.12959621024137152,0.1093011688634668,0.09012244897959183,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,7.078742652188657,0.0,0,0,1.4,93.444,-36.1,0.11289674568099639,0.1093011688634668,0.10668207202002696,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
45,5.375953702608212,0.5548258291803478,0,0,-2.9,92.963,-40.8,0.12959621024137152,0.07805255023183925,0.10486891385767791,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
